,invoice_id,date_time,city,customer_type,gender,product_line,quantity,total,rating,payment
33,595-11-5460,2019-03-15,Yangon,Normal,Male,Health and beauty,2,202.818,5.1,Credit card
34,183-56-6882,2019-02-06,Naypyidaw,Member,Female,Food and beverages,4,417.564,7.5,Ewallet
35,232-16-2483,2019-01-07,Naypyidaw,Member,Female,Sports and travel,1,71.526,6.8,Ewallet
36,129-29-8530,2019-03-10,Yangon,Member,Male,Sports and travel,5,328.755,7.0,Ewallet
37,272-65-1806,2019-01-15,Yangon,Normal,Female,Electronic accessories,9,575.316,4.7,Ewallet
38,333-73-7901,2019-03-23,Naypyidaw,Normal,Female,Health and beauty,8,461.328,7.6,Ewallet
39,777-82-7220,2019-03-03,Mandalay,Member,Male,Home and lifestyle,8,253.008,7.7,Cash
40,280-35-5823,2019-01-17,Mandalay,Member,Female,Home and lifestyle,1,91.056,7.9,Ewallet
41,554-53-8700,2019-02-02,Naypyidaw,Member,Male,Home and lifestyle,2,117.831,6.3,Cash
42,354-25-5821,2019-02-08,Mandalay,Member,Female,Sports and travel,6,435.456,5.6,Cash
43,228-96-1411,2019-03-04,Naypyidaw,Member,Female,Food and beverages,8,829.08,7.6,Cash
44,617-15-4209,2019-03-16,Naypyidaw,Member,Male,Health and beauty,2,32.277,7.2,Cash
45,132-32-9879,2019-03-09,Mandalay,Member,Female,Electronic accessories,4,394.632,9.5,Cash
46,370-41-7321,2019-02-27,Mandalay,Member,Male,Health and beauty,9,535.7205,8.4,Credit card
47,727-46-3608,2019-02-06,Mandalay,Member,Female,Food and beverages,9,189.0945,4.1,Ewallet
48,669-54-1719,2019-02-10,Mandalay,Member,Male,Electronic accessories,6,119.259,8.1,Credit card
49,574-22-5561,2019-03-19,Naypyidaw,Member,Female,Fashion accessories,10,867.615,7.9,Ewallet
50,326-78-5178,2019-02-03,Naypyidaw,Member,Male,Food and beverages,7,671.79,9.5,Cash
51,162-48-8011,2019-02-10,Yangon,Member,Female,Food and beverages,5,234.0975,8.5,Cash
52,616-24-2851,2019-03-22,Mandalay,Member,Female,Fashion accessories,4,75.054,6.5,Ewallet
53,778-71-5554,2019-01-25,Naypyidaw,Member,Male,Fashion accessories,1,16.2015,6.1,Credit card
54,242-55-6721,2019-03-07,Mandalay,Normal,Male,Home and lifestyle,2,33.936,6.5,Ewallet
55,399-46-5918,2019-02-28,Naypyidaw,Normal,Female,Electronic accessories,8,722.232,8.2,Cash
56,106-35-6779,2019-03-27,Yangon,Member,Male,Home and lifestyle,2,93.114,5.8,Cash
57,635-40-6220,2019-02-07,Yangon,Normal,Male,Health and beauty,8,752.64,6.6,Ewallet
58,817-48-8732,2019-01-20,Yangon,Member,Female,Home and lifestyle,10,759.675,5.4,Cash
59,120-06-4233,2019-03-12,Naypyidaw,Normal,Male,Electronic accessories,6,192.843,9.3,Cash
60,285-68-5083,2019-02-15,Naypyidaw,Member,Female,Sports and travel,3,77.931,10.0,Credit card
61,803-83-5989,2019-02-24,Naypyidaw,Normal,Male,Home and lifestyle,6,351.099,7.0,Ewallet
62,347-34-2234,2019-02-03,Mandalay,Member,Female,Sports and travel,9,520.4115,10.0,Ewallet
63,199-75-8169,2019-03-06,Yangon,Member,Male,Sports and travel,10,166.005,8.6,Credit card
64,853-23-2453,2019-02-14,Mandalay,Member,Male,Health and beauty,4,318.108,7.6,Cash
65,877-22-3308,2019-03-13,Yangon,Member,Male,Health and beauty,10,166.635,5.8,Cash
66,838-78-4295,2019-02-10,Naypyidaw,Normal,Female,Health and beauty,2,70.287,6.7,Ewallet
67,109-28-2512,2019-01-07,Mandalay,Member,Female,Fashion accessories,6,614.943,9.9,Ewallet
68,232-11-3025,2019-01-24,Yangon,Normal,Male,Sports and travel,10,827.085,6.4,Cash
69,382-03-4532,2019-02-02,Yangon,Member,Female,Health and beauty,1,19.2465,4.3,Cash
70,393-65-2792,2019-01-06,Naypyidaw,Normal,Male,Food and beverages,10,939.54,9.6,Credit card
71,796-12-2025,2019-02-11,Naypyidaw,Normal,Male,Fashion accessories,10,652.26,5.9,Cash
72,510-95-6347,2019-03-05,Mandalay,Member,Female,Food and beverages,3,152.838,4.0,Ewallet
73,841-35-6630,2019-03-09,Naypyidaw,Normal,Female,Electronic accessories,6,478.233,8.7,Cash
74,287-21-9091,2019-01-22,Yangon,Normal,Male,Home and lifestyle,9,705.6315,9.4,Ewallet
75,732-94-0499,2019-01-13,Naypyidaw,Normal,Female,Electronic accessories,10,437.325,5.4,Credit card
76,263-10-3913,2019-01-09,Naypyidaw,Member,Male,Fashion accessories,9,463.428,8.6,Credit card
77,381-20-0914,2019-01-12,Yangon,Member,Female,Fashion accessories,9,189.0945,5.7,Credit card
78,829-49-1914,2019-03-05,Naypyidaw,Member,Female,Food and beverages,10,822.255,6.6,Ewallet
79,756-01-7507,2019-01-22,Naypyidaw,Normal,Female,Health and beauty,5,106.995,6.0,Cash
80,870-72-4431,2019-01-21,Naypyidaw,Normal,Female,Health and beauty,6,624.897,5.5,Credit card
81,847-38-7188,2019-01-26,Mandalay,Normal,Female,Food and beverages,3,304.542,6.4,Ewallet
82,480-63-2856,2019-01-23,Naypyidaw,Normal,Male,Food and beverages,8,161.7,6.6,Ewallet
83,787-56-0757,2019-02-23,Naypyidaw,Member,Female,Food and beverages,4,337.512,8.3,Credit card
84,360-39-5055,2019-03-09,Naypyidaw,Member,Male,Sports and travel,5,256.7775,6.6,Cash
85,730-50-9884,2019-03-05,Naypyidaw,Normal,Female,Sports and travel,7,610.491,4.0,Ewallet
86,362-58-8315,2019-03-25,Naypyidaw,Normal,Male,Fashion accessories,5,401.73,9.9,Cash
87,633-44-8566,2019-03-27,Yangon,Member,Male,Food and beverages,7,362.943,7.3,Credit card
88,504-35-8843,2019-01-02,Yangon,Normal,Male,Sports and travel,1,44.5935,5.7,Cash
89,318-68-5053,2019-02-27,Mandalay,Normal,Female,Health and beauty,6,485.037,6.1,Cash
90,565-80-5980,2019-01-23,Naypyidaw,Member,Female,Home and lifestyle,4,198.996,7.1,Cash
91,225-32-0908,2019-01-26,Naypyidaw,Normal,Female,Sports and travel,10,471.03,8.2,Ewallet
92,873-51-0671,2019-01-10,Yangon,Member,Female,Sports and travel,7,161.553,5.1,Ewallet
93,152-08-9985,2019-03-12,Mandalay,Member,Male,Health and beauty,9,608.202,8.6,Credit card
94,512-91-0811,2019-02-06,Naypyidaw,Normal,Male,Health and beauty,1,94.2375,6.6,Credit card
95,594-34-4444,2019-03-08,Yangon,Normal,Male,Electronic accessories,1,102.018,7.2,Ewallet
96,766-85-7061,2019-03-29,Mandalay,Normal,Male,Health and beauty,10,922.635,5.1,Ewallet
97,871-39-9221,2019-02-09,Naypyidaw,Normal,Female,Electronic accessories,6,78.435,4.1,Cash
98,865-92-6136,2019-03-23,Yangon,Normal,Male,Food and beverages,3,166.1625,9.3,Ewallet
99,733-01-9107,2019-03-05,Mandalay,Normal,Male,Home and lifestyle,6,521.01,7.4,Cash
100,163-56-7055,2019-03-26,Naypyidaw,Member,Male,Fashion accessories,1,51.1455,4.1,Cash
101,189-98-2939,2019-03-01,Naypyidaw,Normal,Male,Fashion accessories,9,742.2975,7.2,Cash
102,551-21-3069,2019-02-01,Naypyidaw,Normal,Female,Electronic accessories,9,218.0115,4.9,Cash
103,212-62-1842,2019-03-28,Yangon,Normal,Male,Food and beverages,6,367.038,9.9,Cash
104,716-39-1409,2019-03-19,Mandalay,Normal,Male,Health and beauty,7,223.0725,8.0,Cash
105,704-48-3927,2019-01-12,Yangon,Member,Male,Electronic accessories,10,931.035,7.3,Ewallet
106,628-34-3388,2019-01-05,Naypyidaw,Normal,Male,Fashion accessories,6,172.494,7.9,Credit card
107,630-74-5166,2019-03-22,Yangon,Normal,Male,Sports and travel,6,391.419,7.4,Cash
108,588-01-7461,2019-03-24,Naypyidaw,Normal,Female,Food and beverages,9,321.111,4.2,Cash
109,861-77-0145,2019-03-03,Naypyidaw,Member,Male,Electronic accessories,10,860.685,9.2,Cash
110,479-26-8945,2019-02-05,Mandalay,Member,Female,Sports and travel,2,34.629,4.6,Ewallet
111,210-67-5886,2019-02-05,Naypyidaw,Member,Female,Health and beauty,3,309.3615,7.8,Credit card
112,227-78-1148,2019-02-15,Mandalay,Normal,Female,Fashion accessories,7,535.374,8.4,Cash
113,645-44-1170,2019-01-19,Yangon,Member,Male,Home and lifestyle,9,548.7615,4.3,Ewallet
114,237-01-6122,2019-02-01,Naypyidaw,Member,Female,Home and lifestyle,9,763.4655,9.5,Credit card
115,225-98-1496,2019-03-02,Naypyidaw,Normal,Female,Fashion accessories,3,85.113,7.1,Credit card
116,291-32-1427,2019-03-05,Mandalay,Member,Male,Fashion accessories,5,115.185,5.3,Ewallet
117,659-65-8956,2019-01-16,Mandalay,Member,Male,Fashion accessories,1,53.928,5.2,Ewallet
118,642-32-2990,2019-02-02,Yangon,Normal,Female,Food and beverages,10,115.08,6.0,Ewallet
119,378-24-2715,2019-01-20,Mandalay,Normal,Male,Home and lifestyle,2,112.224,4.1,Ewallet
120,638-60-7125,2019-02-14,Yangon,Normal,Female,Electronic accessories,8,836.304,5.2,Credit card
121,659-36-1684,2019-01-12,Naypyidaw,Member,Male,Sports and travel,7,419.832,6.5,Credit card
122,219-22-9386,2019-03-09,Mandalay,Member,Male,Sports and travel,9,944.622,4.2,Credit card
123,336-78-2147,2019-03-13,Naypyidaw,Member,Male,Home and lifestyle,8,536.844,4.6,Credit card
124,268-27-6179,2019-03-09,Mandalay,Member,Female,Fashion accessories,8,474.348,7.3,Ewallet
125,668-90-8900,2019-03-10,Yangon,Normal,Female,Home and lifestyle,7,688.6215,4.5,Credit card
126,870-54-3162,2019-01-27,Yangon,Normal,Female,Sports and travel,5,169.3125,9.0,Cash
127,189-08-9157,2019-01-08,Naypyidaw,Normal,Female,Fashion accessories,9,299.8485,5.9,Credit card
128,663-86-9076,2019-01-08,Naypyidaw,Member,Female,Food and beverages,8,575.736,8.5,Ewallet
129,549-84-7482,2019-02-08,Mandalay,Normal,Female,Sports and travel,9,853.146,7.2,Ewallet
130,191-10-6171,2019-01-25,Mandalay,Normal,Female,Fashion accessories,7,291.207,7.5,Cash
131,802-70-5316,2019-03-06,Yangon,Member,Female,Sports and travel,6,580.419,8.3,Cash
132,695-51-0018,2019-02-10,Mandalay,Normal,Female,Sports and travel,4,146.328,7.4,Cash
133,590-83-4591,2019-02-17,Mandalay,Member,Male,Electronic accessories,6,550.935,8.8,Credit card
134,483-71-1164,2019-03-08,Naypyidaw,Normal,Female,Health and beauty,6,512.19,5.3,Ewallet
135,597-78-7908,2019-02-18,Naypyidaw,Normal,Male,Fashion accessories,3,284.193,6.2,Cash
136,700-81-1757,2019-01-18,Yangon,Normal,Female,Electronic accessories,5,138.1275,8.8,Credit card
137,354-39-5160,2019-02-18,Yangon,Member,Female,Home and lifestyle,6,216.846,9.8,Cash
138,241-72-9525,2019-02-16,Mandalay,Normal,Male,Sports and travel,10,545.055,8.2,Cash
139,575-30-8091,2019-03-16,Yangon,Normal,Male,Sports and travel,8,609.0,9.2,Ewallet
140,731-81-9469,2019-01-23,Naypyidaw,Member,Female,Sports and travel,10,942.9,5.4,Credit card
141,280-17-4359,2019-01-25,Naypyidaw,Member,Male,Health and beauty,10,950.25,8.1,Cash
142,338-65-2210,2019-02-05,Naypyidaw,Member,Female,Health and beauty,10,720.3,9.1,Cash
143,488-25-4221,2019-02-22,Naypyidaw,Member,Female,Food and beverages,1,31.9305,8.4,Credit card
144,239-10-7476,2019-01-21,Yangon,Normal,Female,Home and lifestyle,6,491.085,8.0,Ewallet
145,458-41-1477,2019-03-08,Naypyidaw,Normal,Female,Health and beauty,6,291.438,9.5,Credit card
146,685-64-1609,2019-02-10,Yangon,Member,Female,Fashion accessories,10,316.47,9.2,Ewallet
147,568-90-5112,2019-03-19,Naypyidaw,Normal,Male,Health and beauty,4,277.788,5.6,Credit card
148,262-47-2794,2019-03-06,Mandalay,Member,Male,Home and lifestyle,8,603.624,6.2,Credit card
149,238-49-0436,2019-03-27,Yangon,Normal,Male,Health and beauty,8,272.664,4.9,Credit card
150,608-96-3517,2019-03-23,Mandalay,Member,Female,Fashion accessories,4,384.468,4.8,Credit card
151,584-86-7256,2019-03-11,Naypyidaw,Member,Male,Sports and travel,7,254.016,7.3,Credit card
152,746-94-0204,2019-01-29,Yangon,Normal,Male,Fashion accessories,9,786.618,7.4,Credit card
153,214-17-6927,2019-02-07,Naypyidaw,Normal,Female,Food and beverages,6,103.824,9.9,Ewallet
154,400-89-4171,2019-01-28,Naypyidaw,Normal,Female,Sports and travel,8,680.148,9.3,Cash
155,782-95-9291,2019-02-20,Yangon,Member,Male,Food and beverages,5,484.5225,9.0,Credit card
156,279-74-2924,2019-01-04,Mandalay,Member,Male,Electronic accessories,1,75.7785,6.1,Cash
157,307-85-2293,2019-03-07,Mandalay,Normal,Male,Home and lifestyle,5,263.97,9.7,Ewallet
158,743-04-1105,2019-03-30,Mandalay,Member,Male,Health and beauty,9,918.729,6.0,Ewallet
159,423-57-2993,2019-03-27,Mandalay,Normal,Male,Sports and travel,6,588.357,10.0,Ewallet
160,894-41-5205,2019-01-19,Naypyidaw,Normal,Female,Food and beverages,8,362.712,8.3,Credit card
161,275-28-0149,2019-02-25,Yangon,Normal,Male,Sports and travel,1,66.8745,6.0,Cash
162,101-17-6199,2019-03-13,Yangon,Normal,Male,Food and beverages,7,336.5565,7.0,Credit card
163,423-80-0988,2019-01-30,Naypyidaw,Normal,Male,Sports and travel,2,160.44,6.5,Ewallet
164,548-46-9322,2019-02-20,Mandalay,Normal,Male,Food and beverages,10,418.95,5.9,Credit card
165,505-02-0892,2019-02-25,Mandalay,Member,Male,Health and beauty,8,357.588,5.6,Ewallet
166,234-65-2137,2019-01-16,Naypyidaw,Normal,Male,Home and lifestyle,10,1003.59,4.8,Cash
167,687-47-8271,2019-02-08,Yangon,Normal,Male,Fashion accessories,10,1039.29,8.7,Credit card
168,796-32-9050,2019-01-19,Yangon,Normal,Male,Food and beverages,6,323.064,6.5,Cash
169,105-31-1824,2019-02-01,Yangon,Member,Male,Sports and travel,7,510.972,8.5,Credit card
170,249-42-3782,2019-01-03,Yangon,Normal,Male,Health and beauty,5,367.5525,5.5,Ewallet
171,316-55-4634,2019-01-26,Mandalay,Member,Male,Food and beverages,5,420.2625,9.4,Credit card
172,733-33-4967,2019-03-03,Naypyidaw,Normal,Male,Electronic accessories,8,175.14,6.3,Cash
173,608-27-6295,2019-01-19,Mandalay,Member,Male,Electronic accessories,6,333.207,9.8,Credit card
174,414-12-7047,2019-01-18,Mandalay,Normal,Male,Food and beverages,8,166.236,8.7,Ewallet
175,827-26-2100,2019-03-21,Yangon,Member,Male,Home and lifestyle,9,319.788,8.8,Ewallet
176,175-54-2529,2019-03-03,Yangon,Member,Male,Food and beverages,8,186.228,9.6,Credit card
177,139-52-2867,2019-02-13,Naypyidaw,Normal,Female,Fashion accessories,7,165.4485,4.8,Credit card
178,407-63-8975,2019-03-23,Yangon,Normal,Male,Food and beverages,6,465.444,4.4,Ewallet
179,342-65-4817,2019-01-28,Naypyidaw,Member,Male,Health and beauty,3,273.42,9.9,Ewallet
180,130-98-8941,2019-02-09,Naypyidaw,Normal,Male,Fashion accessories,7,472.311,5.7,Cash
181,434-83-9547,2019-01-23,Naypyidaw,Member,Male,Food and beverages,8,323.148,7.7,Cash
182,851-28-6367,2019-03-23,Yangon,Member,Male,Sports and travel,10,162.75,8.0,Ewallet
183,824-88-3614,2019-01-25,Naypyidaw,Normal,Male,Health and beauty,8,288.204,5.7,Ewallet
184,586-25-0848,2019-03-04,Yangon,Normal,Female,Sports and travel,7,90.699,6.7,Credit card
185,895-66-0685,2019-03-05,Mandalay,Member,Male,Food and beverages,3,56.952,8.0,Ewallet
186,305-14-0245,2019-03-03,Mandalay,Member,Female,Home and lifestyle,8,793.716,7.5,Ewallet
187,732-04-5373,2019-02-08,Mandalay,Member,Male,Home and lifestyle,4,195.174,7.0,Cash
188,400-60-7251,2019-02-10,Yangon,Normal,Male,Home and lifestyle,1,77.7735,9.9,Ewallet
189,593-65-1552,2019-01-28,Naypyidaw,Normal,Female,Home and lifestyle,4,293.202,5.9,Credit card
190,284-34-9626,2019-02-11,Mandalay,Normal,Female,Home and lifestyle,3,242.676,7.2,Credit card
191,437-58-8131,2019-01-15,Mandalay,Normal,Female,Fashion accessories,2,154.392,4.6,Ewallet
192,286-43-6208,2019-03-16,Naypyidaw,Normal,Female,Food and beverages,9,829.71,9.2,Cash
193,641-43-2399,2019-01-26,Mandalay,Normal,Male,Home and lifestyle,4,107.31,5.7,Ewallet
194,831-07-6050,2019-03-19,Yangon,Normal,Male,Electronic accessories,5,171.7275,9.9,Credit card
195,556-86-3144,2019-01-13,Naypyidaw,Member,Female,Fashion accessories,1,78.0045,5.0,Cash
196,848-24-9445,2019-03-26,Naypyidaw,Member,Male,Health and beauty,2,91.77,4.9,Cash
197,856-22-8149,2019-03-23,Yangon,Normal,Female,Home and lifestyle,1,26.5545,6.1,Ewallet
198,699-01-4164,2019-03-12,Naypyidaw,Normal,Male,Health and beauty,4,174.3,8.2,Credit card
199,420-11-4919,2019-02-17,Naypyidaw,Member,Female,Food and beverages,5,374.7975,5.5,Credit card
200,606-80-4905,2019-01-29,Naypyidaw,Member,Female,Sports and travel,6,120.645,6.8,Credit card
201,542-41-0513,2019-03-15,Mandalay,Member,Female,Electronic accessories,4,241.458,6.6,Cash
202,426-39-2418,2019-01-14,Naypyidaw,Normal,Male,Electronic accessories,7,451.3635,9.8,Cash
203,875-46-5808,2019-02-06,Mandalay,Member,Male,Health and beauty,10,271.95,8.7,Ewallet
204,394-43-4238,2019-02-15,Mandalay,Member,Male,Home and lifestyle,5,93.2925,5.4,Credit card
205,749-24-1565,2019-01-03,Yangon,Normal,Female,Health and beauty,9,217.6335,7.9,Ewallet
206,672-51-8681,2019-01-04,Naypyidaw,Member,Female,Electronic accessories,9,629.8425,9.7,Credit card
207,263-87-5680,2019-03-18,Naypyidaw,Member,Female,Home and lifestyle,10,299.565,7.8,Ewallet
208,573-58-9734,2019-03-28,Mandalay,Normal,Female,Fashion accessories,3,95.6655,5.1,Ewallet
209,817-69-8206,2019-03-02,Mandalay,Normal,Female,Electronic accessories,9,942.4485,6.5,Credit card
210,888-02-0338,2019-01-25,Yangon,Normal,Male,Electronic accessories,9,247.8735,5.9,Ewallet
211,677-11-0152,2019-01-16,Naypyidaw,Normal,Female,Food and beverages,9,881.307,8.8,Cash
212,142-63-6033,2019-03-20,Mandalay,Normal,Male,Home and lifestyle,5,484.89,4.9,Ewallet
213,656-16-1063,2019-01-04,Mandalay,Normal,Male,Sports and travel,3,146.223,4.4,Credit card
214,891-58-8335,2019-03-11,Mandalay,Member,Female,Sports and travel,7,217.6335,6.5,Cash
215,802-43-8934,2019-03-22,Yangon,Normal,Male,Home and lifestyle,1,19.194,8.3,Credit card
216,560-30-5617,2019-03-24,Mandalay,Normal,Female,Sports and travel,5,130.0425,8.5,Cash
217,319-74-2561,2019-02-21,Yangon,Member,Female,Electronic accessories,3,298.116,5.5,Cash
218,549-03-9315,2019-02-12,Mandalay,Normal,Male,Fashion accessories,8,796.908,8.7,Ewallet
219,790-29-1172,2019-03-10,Mandalay,Normal,Female,Food and beverages,3,180.621,7.9,Credit card
220,239-36-3640,2019-01-31,Mandalay,Normal,Male,Electronic accessories,6,285.705,6.1,Ewallet
221,468-01-2051,2019-03-06,Mandalay,Normal,Male,Food and beverages,7,456.288,5.4,Ewallet
222,389-25-3394,2019-02-17,Naypyidaw,Normal,Male,Electronic accessories,5,62.0025,9.4,Cash
223,279-62-1445,2019-02-21,Naypyidaw,Member,Female,Fashion accessories,1,13.167,8.2,Cash
224,213-72-6612,2019-03-20,Yangon,Normal,Male,Food and beverages,2,90.825,6.2,Cash
225,746-68-6593,2019-01-11,Naypyidaw,Member,Female,Sports and travel,2,183.036,9.7,Credit card
226,836-82-5858,2019-01-26,Mandalay,Member,Male,Health and beauty,9,655.5465,4.0,Ewallet
227,583-72-1480,2019-01-31,Naypyidaw,Member,Male,Electronic accessories,4,155.652,9.7,Ewallet
228,466-61-5506,2019-02-26,Mandalay,Member,Female,Electronic accessories,6,571.41,5.3,Cash
229,721-86-6247,2019-03-11,Yangon,Normal,Female,Home and lifestyle,8,532.728,7.4,Ewallet
230,289-65-5721,2019-01-26,Mandalay,Normal,Female,Fashion accessories,2,170.877,6.5,Cash
231,545-46-3100,2019-03-12,Mandalay,Member,Female,Electronic accessories,3,33.3585,8.7,Credit card
232,418-02-5978,2019-02-11,Mandalay,Normal,Female,Health and beauty,9,794.6505,8.0,Cash
233,269-04-5750,2019-02-21,Mandalay,Member,Male,Fashion accessories,4,310.044,6.7,Cash
234,157-13-5295,2019-03-09,Yangon,Member,Male,Health and beauty,10,545.37,6.5,Ewallet
235,645-78-8093,2019-01-20,Yangon,Normal,Female,Sports and travel,2,195.594,4.1,Ewallet
236,211-30-9270,2019-01-28,Naypyidaw,Normal,Male,Health and beauty,5,91.4025,4.9,Credit card
237,755-12-3214,2019-03-05,Naypyidaw,Member,Female,Fashion accessories,5,232.155,8.6,Credit card
238,346-84-3103,2019-03-02,Mandalay,Member,Female,Electronic accessories,5,69.405,4.3,Cash
239,478-06-7835,2019-01-11,Yangon,Normal,Male,Fashion accessories,1,94.1745,4.9,Ewallet
240,540-11-4336,2019-01-11,Yangon,Normal,Male,Food and beverages,9,235.683,5.6,Credit card
241,448-81-5016,2019-03-11,Yangon,Normal,Male,Health and beauty,2,125.517,5.8,Credit card
242,142-72-4741,2019-02-28,Naypyidaw,Member,Male,Fashion accessories,2,195.72,6.0,Credit card
243,217-58-1179,2019-01-05,Yangon,Member,Male,Home and lifestyle,4,263.13,4.2,Cash
244,376-02-8238,2019-02-02,Mandalay,Normal,Male,Home and lifestyle,8,788.508,8.3,Credit card
245,530-90-9855,2019-01-01,Yangon,Member,Male,Home and lifestyle,8,399.756,5.7,Cash
246,866-05-7563,2019-02-09,Mandalay,Member,Female,Electronic accessories,3,256.41,4.8,Cash
247,604-70-6476,2019-01-23,Yangon,Member,Male,Fashion accessories,5,94.185,6.8,Ewallet
248,799-71-1548,2019-01-07,Yangon,Member,Male,Electronic accessories,4,326.424,8.8,Credit card
249,785-13-7708,2019-01-14,Mandalay,Normal,Male,Food and beverages,7,536.991,4.2,Credit card
250,845-51-0542,2019-02-02,Mandalay,Member,Male,Food and beverages,9,439.8975,6.4,Ewallet
251,662-47-5456,2019-03-17,Naypyidaw,Member,Male,Fashion accessories,10,369.495,8.4,Credit card
252,883-17-4236,2019-03-02,Naypyidaw,Normal,Female,Sports and travel,2,30.219,7.2,Credit card
253,290-68-2984,2019-03-16,Yangon,Normal,Male,Home and lifestyle,4,99.75,5.2,Cash
254,704-11-6354,2019-01-06,Yangon,Member,Male,Home and lifestyle,8,494.76,8.9,Cash
255,110-48-7033,2019-01-29,Mandalay,Member,Male,Fashion accessories,4,137.004,9.0,Cash
256,366-93-0948,2019-01-31,Yangon,Member,Male,Electronic accessories,1,69.6675,9.7,Credit card
257,729-09-9681,2019-02-05,Yangon,Member,Male,Home and lifestyle,6,163.233,8.7,Ewallet
258,151-16-1484,2019-02-13,Yangon,Member,Male,Electronic accessories,4,135.45,6.5,Ewallet
259,380-94-4661,2019-02-07,Naypyidaw,Member,Male,Electronic accessories,4,276.948,6.9,Credit card
260,850-41-9669,2019-03-19,Yangon,Normal,Female,Electronic accessories,9,709.317,6.2,Ewallet
261,821-07-3596,2019-03-07,Naypyidaw,Normal,Female,Fashion accessories,4,69.09,5.6,Ewallet
262,655-85-5130,2019-03-13,Mandalay,Member,Female,Fashion accessories,4,160.86,5.7,Cash
263,447-15-7839,2019-02-09,Yangon,Member,Female,Sports and travel,10,233.52,4.2,Cash
264,154-74-7179,2019-02-26,Mandalay,Normal,Male,Sports and travel,1,57.1725,7.9,Ewallet
265,253-12-6086,2019-03-12,Yangon,Member,Female,Sports and travel,7,723.24,8.7,Credit card
266,808-65-0703,2019-03-14,Naypyidaw,Normal,Male,Home and lifestyle,4,148.974,6.9,Credit card
267,571-94-0759,2019-01-08,Mandalay,Member,Female,Food and beverages,10,783.3,9.5,Cash
